title,type,text
THOUSAND NIGHTS AND A NIGHT ,Fantasy,To the pure all things are pure (Puris omnia pura)
THOUSAND NIGHTS AND A NIGHT ,Fantasy,Niuna corrotta mente intese mai sanamente parole.
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"Erubuit, posuitque meum Lucretia librum Sed coram Bruto. Brute!"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"reced, leget."
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"Miculx est de ris que de larmes escripre, Pour ce que rire est"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,le propre des hommes.
THOUSAND NIGHTS AND A NIGHT ,Fantasy,The pleasure we derive from perusing the Thousand and One
THOUSAND NIGHTS AND A NIGHT ,Fantasy,Stories makes us regret that we possess only a comparatively
THOUSAND NIGHTS AND A NIGHT ,Fantasy,small part of these truly enchanting fictions.
THOUSAND NIGHTS AND A NIGHT ,Fantasy,And afterwards. Verily the works and words of those gone before
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"us have become instances and examples to men of our modern day,"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,that folk may view what admonishing chances befel other folk and
THOUSAND NIGHTS AND A NIGHT ,Fantasy,may therefrom take warning; and that they may peruse the annals
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"of antique peoples and all that hath betided them, and be thereby"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"ruled and restrained:--Praise, therefore, be to Him who hath made"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,the histories of the Past an admonition unto the Present! Now of
THOUSAND NIGHTS AND A NIGHT ,Fantasy,such instances are the tales called A Thousand Nights and a
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"Night, together with their far famed legends and wonders."
THOUSAND NIGHTS AND A NIGHT ,Fantasy,Therein it is related (but Allah is All knowing of His hidden
THOUSAND NIGHTS AND A NIGHT ,Fantasy,things and All ruling and All honoured and All giving and All
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"gracious and All merciful [FN#1]) that, in tide of yore and in"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"time long gone before, there was a King of the Kings of the Banu"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"Sásán in the Islands of India and China, a Lord of armies and"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"guards and servants and dependents.[FN#2] He left only two sons,"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"one in the prime of manhood and the other yet a youth, while both"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"were Knights and Braves, albeit the elder was a doughtier"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,horseman than the younger. So he succeeded to the empire; when he
THOUSAND NIGHTS AND A NIGHT ,Fantasy,ruled the land and forded it over his lieges with justice so
THOUSAND NIGHTS AND A NIGHT ,Fantasy,exemplary that he was beloved by all the peoples of his capital
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"and of his kingdom. His name was King Shahryár[FN#3], and he made"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"his younger brother, Shah Zamán hight, King of Samarcand in"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,Barbarian land. These two ceased not to abide in their several
THOUSAND NIGHTS AND A NIGHT ,Fantasy,realms and the law was ever carried out in their dominions; and
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"each ruled his own kingdom, with equity and fair dealing to his"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"subjects, in extreme solace and enjoyment; and this condition"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,continually endured for a score of years. But at the end of the
THOUSAND NIGHTS AND A NIGHT ,Fantasy,twentieth twelvemonth the elder King yearned for a sight of his
THOUSAND NIGHTS AND A NIGHT ,Fantasy,younger brother and felt that he must look upon him once more. So
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"he took counsel with his Wazír[FN#4] about visiting him, but the"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"Minister, finding the project unadvisable, recommended that a"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,letter be written and a present be sent under his charge to the
THOUSAND NIGHTS AND A NIGHT ,Fantasy,younger brother with an invitation to visit the elder. Having
THOUSAND NIGHTS AND A NIGHT ,Fantasy,accepted this advice the King forthwith bade prepare handsome
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"gifts, such as horses with saddles of gem encrusted gold;"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"Mamelukes, or white slaves; beautiful handmaids, high breasted"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"virgins, and splendid stuffs and costly. He then wrote a letter"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,to Shah Zaman expressing his warm love and great wish to see
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"him, ending with these words, We therefore hope of the favour"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,and affection of the beloved brother that he will condescend to
THOUSAND NIGHTS AND A NIGHT ,Fantasy,bestir himself and turn his face us wards. Furthermore we have
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"sent our Wazir to make all ordinance for the march, and our one"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,and only desire is to see thee ere we die; but if thou delay or
THOUSAND NIGHTS AND A NIGHT ,Fantasy,disappoint us we shall not survive the blow. Wherewith peace be
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"upon thee! Then King Shahryar, having sealed the missive and"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"given it to the Wazir with the offerings aforementioned,"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,commanded him to shorten his skirts and strain his strength and
THOUSAND NIGHTS AND A NIGHT ,Fantasy,make all expedition in going and returning. Harkening and
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"obedience! quoth the Minister, who fell to making ready without"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,stay and packed up his loads and prepared all his requisites
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"without delay. This occupied him three days, and on the dawn of"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"the fourth he took leave of his King and marched right away, over"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"desert and hill' way, stony waste and pleasant lea without"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,halting by night or by day. But whenever he entered a realm whose
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"ruler was subject to his Suzerain, where he was greeted with"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,magnificent gifts of gold and silver and all manner of presents
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"fair and rare, he would tarry there three days,[FN#5] the term"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"of the guest rite; and, when he left on the fourth, he would be"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,honourably escorted for a whole day's march. As soon as the
THOUSAND NIGHTS AND A NIGHT ,Fantasy,Wazir drew near Shah Zaman's court in Samarcand he despatched to
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"report his arrival one of his high officials, who presented"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"himself before the King; and, kissing ground between his hands,"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,delivered his message. Hereupon the King commanded sundry of his
THOUSAND NIGHTS AND A NIGHT ,Fantasy,Grandees and Lords of his realm to fare forth and meet his
THOUSAND NIGHTS AND A NIGHT ,Fantasy,brother's Wazir at the distance of a full day's journey; which
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"they did, greeting him respectfully and wishing him all"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,prosperity and forming an escort and a procession. When he
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"entered the city he proceeded straightway to the palace, where"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"he presented himself in the royal presence; and, after kissing"
THOUSAND NIGHTS AND A NIGHT ,Fantasy,ground and praying for the King's health and happiness and for
THOUSAND NIGHTS AND A NIGHT ,Fantasy,"victory over all his enemies, he informed him that his brother"
